id,label,tweet
1,0,#fingerprint #Pregnancy Test https://goo.gl/h1MfQV #android #apps #beautiful #cute #health #igers #iphoneonly #iphonesia #iphone
2,0,Finally a transparant silicon case ^^ Thanks to my uncle :) #yay #Sony #Xperia #S #sonyexperias… http://instagram.com/p/YGEt5JC6JM/ ther i'm at KJLSD twitter.com/34JKLIjklsd Asim
3,0,We love this! Would you go? #talk #makememories #unplug #relax #iphone #smartphone #wifi #connect... http://fb.me/6N3LsUpCu
4,0,I'm wired I know I'm George I was made that way 
5,1,What amazing service! Apple won't even talk to me about a question I have unless I pay them $19.95 for their stupid support!
6,1,iPhone software update fucked up my phone big time Stupid iPhones
7,0,Happy for us .. #instapic #instadaily #us #sony #xperia #xperiaZ https://instagram.com/p/z9qGfWlvj7/
8,0,New Type C charger cable #UK http://www.ebay.co.uk/itm/-/112598674021 … #bay #Amazon #etsy New Year #Rob Cross #Toby Young #EVEMUN #McMafia #Taylor #SPECTRE 2018 #NewYear #Starting 2018 #recipes #technology #SamsungGalaxyS9 #iPhoneX pic.twitter.com/PjIwq59WtC
9,0,Bout to go shopping again listening to music #iphone #justme #music #likeforlike #followforfollow… http://instagr.am/p/Vj6bg5tLql/
10,0,Photo: #fun #selfie #pool #water #sony #camera #picoftheday #sun #instagood #boy #cute #outdoor... http://tmblr.co/ZAjC0n1ms_Gp8
11,1,hey #apple when you make a new ipod dont make it a new color or .2inches thinner make it not crash every five fuckin minite.
12,1,Ha! Not heavy machinery but it does what I need it to. @Apple really dropped the ball with that design. #drinkyourhaterade
13,1,Contemplating giving in to the iPhone bandwagon simply because #Cellcom has no new Androids #depressing #IDontWantTo
14,0,"I just made another crazy purchase lol my theory is 'Work hard, Play Hard' Lol #iPad #Apple #Shopping http://instagr.am/p/NUyFHvyE7I/"
15,1,@shaqlockholmes @sam_louise1991 the battery is so painful! I charge it overnight and by lunchtime battery is dead! #HateOrange.
16,0,From #DeepEllum towards #downtown #Dallas. #BigD #Saturday #RX100M3 #Sony #summer #urban http://instagram.com/p/pzJoOaQqZ4/
17,0,Like and Share if you want this 3D Phone Case for Iphone #iphone #s ... https://bestcheapphones.com/index.php/product/2016-new-sweet-3d-mineral-water-bottle-love-ice-cream-phone-case-couples-soft-silicone-rubber-case-for-iphone-7-6-6s-plus-5-5se/ …pic.twitter.com/gFKN0Yec6J
18,0,"Go crazy !! #iphonesia, #iphone, #instagood, #instagram, #photooftheday, #tweegram, ,… http://instagram.com/p/d0R5SqrY5B/"
19,1,The reason I don't have one. #iphone #suck #apple #truth #truthbetold #agree #fact #realitycheck #blackberrypic.twitter.com/zpggd7caZN
20,1,How is the apple store gunna be out of 5C screens ?!? It's Monday and ur the FUCKING APPLE STORE !!! #fuckingpissed
21,0,#Apple #Art #Easter #Dear #Friends If you would like to be published on my channel. Design a face on the Easter Bunny and email it to me as a .png thumbnail. My email : mutita.edibleart@gmail.compic.twitter.com/7JhWphfbGT
22,0,"Excuse me, waiter?... There seems to be a pie in my soup! #wife #bake #an #apple #pie #yay http://instagr.am/p/Q8G43JpimN/"
23,1,I've had this new ipod for four days? And this of button on the back broke... I accidentally hit it once
24,1,when your iPhone screen goes completely black and you keep getting texts all day but you can't FUCKING CHECK THEM #Apple #6thiPhone
25,0,It's time for new wallpapers #phone #wallpapers #wall #screen #galaxy #samsung #app … https://www.instagram.com/p/BcsKTNNn51c/
26,0,1.05 billion for 3 patents where there is prior art = 300 millions each = patent trolls are partying now thanks to Apple #apple
27,1,$&@*# my ipod is all messed up and i haven't done nothing to it #$&@*# #MyLoss ! #Apple
28,1,My ipod touch is frozen on the apple logo when it starts up. If I lose all of Demi's music & pics I will kill someone! #SoAngry #HATEApple
29,0,do love a new phone case! #flower #green #diamond #pearls #cute #new #iphone #iphone4s #case… http://instagr.am/p/WeLXEfun-O/
30,0,Must watch #youtube #subscribe #daily #vlog #twitch #gaming #fun #ps4 #xbox #sony #games #ios #android #$&@*# https://youtu.be/oaXlm8R5SDA
31,0,Thank you! #samsung #live #laugh #life #food #philippines #instago #instahub #instagram… http://instagram.com/p/YXHUdZhHFb/
32,0,CH Cannon & SueWee #friendship #AmericanBully #dog #piggies #family #SouthernCharm #AmericanIdol #goals #bestfriends #Pitbull #iPhoneX #onelove #country #muscle #NFL #worldwide #America #BigBoy thislife #TMZ #wild #Hoggpic.twitter.com/1Mn5OGPI2c
